model,method,sigma,contamination_probability,contamination_scale,scale_ratio,repeat,stage,window_size,rmse
masked,linear,0.4,0.15,1,2.5,2,8,45,0.0382492730833
masked,linear,0.4,0.15,1,2.5,2,9,31,0.0521245492109
masked,robust,0.4,0.15,1,2.5,2,1,501,0.0198526214338
masked,robust,0.4,0.15,1,2.5,2,2,355,0.0138292056723
masked,robust,0.4,0.15,1,2.5,2,3,251,0.0163485281202
masked,robust,0.4,0.15,1,2.5,2,4,177,0.0176278554829
masked,robust,0.4,0.15,1,2.5,2,5,125,0.0191641247766
masked,robust,0.4,0.15,1,2.5,2,6,89,0.0244817233334
masked,robust,0.4,0.15,1,2.5,2,7,63,0.0283374000469
masked,robust,0.4,0.15,1,2.5,2,8,45,0.028777025252
masked,robust,0.4,0.15,1,2.5,2,9,31,0.0387953095914
masked,linear,0.4,0.15,1.5,3.75,0,1,501,0.0639034380417
masked,linear,0.4,0.15,1.5,3.75,0,2,355,0.0371462679017
masked,linear,0.4,0.15,1.5,3.75,0,3,251,0.0350201361408
masked,linear,0.4,0.15,1.5,3.75,0,4,177,0.0340041833912
masked,linear,0.4,0.15,1.5,3.75,0,5,125,0.0406402373569
masked,linear,0.4,0.15,1.5,3.75,0,6,89,0.0446168205418
masked,linear,0.4,0.15,1.5,3.75,0,7,63,0.04844157113
masked,linear,0.4,0.15,1.5,3.75,0,8,45,0.0579961439546
masked,linear,0.4,0.15,1.5,3.75,0,9,31,0.0746019798583
masked,robust,0.4,0.15,1.5,3.75,0,1,501,0.0283983521904
masked,robust,0.4,0.15,1.5,3.75,0,2,355,0.0207463222277
masked,robust,0.4,0.15,1.5,3.75,0,3,251,0.02021865562
masked,robust,0.4,0.15,1.5,3.75,0,4,177,0.0180622365826
masked,robust,0.4,0.15,1.5,3.75,0,5,125,0.0221628606512
masked,robust,0.4,0.15,1.5,3.75,0,6,89,0.0274979822278
masked,robust,0.4,0.15,1.5,3.75,0,7,63,0.0305319366174
masked,robust,0.4,0.15,1.5,3.75,0,8,45,0.0349753036756
masked,robust,0.4,0.15,1.5,3.75,0,9,31,0.045799939641
masked,linear,0.4,0.15,1.5,3.75,1,1,501,0.0486866104643
masked,linear,0.4,0.15,1.5,3.75,1,2,355,0.0273018555153
masked,linear,0.4,0.15,1.5,3.75,1,3,251,0.0289227348341
masked,linear,0.4,0.15,1.5,3.75,1,4,177,0.0329527029559
masked,linear,0.4,0.15,1.5,3.75,1,5,125,0.0390493088993
masked,linear,0.4,0.15,1.5,3.75,1,6,89,0.0408216369928
masked,linear,0.4,0.15,1.5,3.75,1,7,63,0.0469643866483
masked,linear,0.4,0.15,1.5,3.75,1,8,45,0.0535309267564
masked,linear,0.4,0.15,1.5,3.75,1,9,31,0.0678412038132
masked,robust,0.4,0.15,1.5,3.75,1,1,501,0.0306870816117
masked,robust,0.4,0.15,1.5,3.75,1,2,355,0.0151511499396
masked,robust,0.4,0.15,1.5,3.75,1,3,251,0.0160996812997
masked,robust,0.4,0.15,1.5,3.75,1,4,177,0.01905913458
masked,robust,0.4,0.15,1.5,3.75,1,5,125,0.0231991059661
