model,method,sigma,contamination_probability,contamination_scale,scale_ratio,repeat,mean_rmse
masked,robust,0.6,0.15,2.5,4.16666666667,0,0.0403579617521
masked,robust,0.6,0.15,2.5,4.16666666667,1,0.0393200996805
masked,robust,0.6,0.15,2.5,4.16666666667,2,0.0376472379823
masked,robust,0.6,0.15,3,5,0,0.0407785945163
masked,robust,0.6,0.15,3,5,1,0.0401189610288
masked,robust,0.6,0.15,3,5,2,0.0391003183654
masked,robust,0.6,0.2,1,1.66666666667,0,0.0406385301577
masked,robust,0.6,0.2,1,1.66666666667,1,0.0402225942606
masked,robust,0.6,0.2,1,1.66666666667,2,0.0347824279139
masked,robust,0.6,0.2,1.5,2.5,0,0.0416361227484
masked,robust,0.6,0.2,1.5,2.5,1,0.0437556559747
masked,robust,0.6,0.2,1.5,2.5,2,0.0377683695367
masked,robust,0.6,0.2,2,3.33333333333,0,0.0424993187543
masked,robust,0.6,0.2,2,3.33333333333,1,0.0463256711966
masked,robust,0.6,0.2,2,3.33333333333,2,0.0402733593239
masked,robust,0.6,0.2,2.5,4.16666666667,0,0.0432928500844
masked,robust,0.6,0.2,2.5,4.16666666667,1,0.0481710609414
masked,robust,0.6,0.2,2.5,4.16666666667,2,0.042301171631
masked,robust,0.6,0.2,3,5,0,0.0440778491954
masked,robust,0.6,0.2,3,5,1,0.0495099808549
masked,robust,0.6,0.2,3,5,2,0.0439604898331
masked,robust,0.6,0.25,1,1.66666666667,0,0.0442441944729
masked,robust,0.6,0.25,1,1.66666666667,1,0.0410840895207
masked,robust,0.6,0.25,1,1.66666666667,2,0.0375380734467
masked,robust,0.6,0.25,1.5,2.5,0,0.0459460734485
masked,robust,0.6,0.25,1.5,2.5,1,0.0443389874254
masked,robust,0.6,0.25,1.5,2.5,2,0.0407493317881
masked,robust,0.6,0.25,2,3.33333333333,0,0.0473506797588
masked,robust,0.6,0.25,2,3.33333333333,1,0.0467355680493
masked,robust,0.6,0.25,2,3.33333333333,2,0.0434939497439
masked,robust,0.6,0.25,2.5,4.16666666667,0,0.0485205500374
masked,robust,0.6,0.25,2.5,4.16666666667,1,0.0485491720648
masked,robust,0.6,0.25,2.5,4.16666666667,2,0.0457645376671
masked,robust,0.6,0.25,3,5,0,0.0495623012854
masked,robust,0.6,0.25,3,5,1,0.0499587456579
masked,robust,0.6,0.25,3,5,2,0.0476624405277
masked,robust,0.6,0.3,1,1.66666666667,0,0.0477412497085
masked,robust,0.6,0.3,1,1.66666666667,1,0.0436192946116
masked,robust,0.6,0.3,1,1.66666666667,2,0.0421038230702
masked,robust,0.6,0.3,1.5,2.5,0,0.0505270269407
masked,robust,0.6,0.3,1.5,2.5,1,0.0474196990279
masked,robust,0.6,0.3,1.5,2.5,2,0.0459372046293
masked,robust,0.6,0.3,2,3.33333333333,0,0.0526602943791
masked,robust,0.6,0.3,2,3.33333333333,1,0.0503622853172
masked,robust,0.6,0.3,2,3.33333333333,2,0.0493165300005
masked,robust,0.6,0.3,2.5,4.16666666667,0,0.0542126666613
masked,robust,0.6,0.3,2.5,4.16666666667,1,0.052739757055
masked,robust,0.6,0.3,2.5,4.16666666667,2,0.0522587729768
masked,robust,0.6,0.3,3,5,0,0.0554547919465
masked,robust,0.6,0.3,3,5,1,0.0547148991491
masked,robust,0.6,0.3,3,5,2,0.0548202108823
masked,robust,0.8,0.1,1,1.25,0,0.0471297237513
masked,robust,0.8,0.1,1,1.25,1,0.0408427016563
masked,robust,0.8,0.1,1,1.25,2,0.0374269533593
masked,robust,0.8,0.1,1.5,1.875,0,0.0488421975467
masked,robust,0.8,0.1,1.5,1.875,1,0.0431995257071
masked,robust,0.8,0.1,1.5,1.875,2,0.0387822598791
masked,robust,0.8,0.1,2,2.5,0,0.0500314870409
masked,robust,0.8,0.1,2,2.5,1,0.0451162488372
masked,robust,0.8,0.1,2,2.5,2,0.0401750384159
masked,robust,0.8,0.1,2.5,3.125,0,0.0508555796214
masked,robust,0.8,0.1,2.5,3.125,1,0.0465876821075
masked,robust,0.8,0.1,2.5,3.125,2,0.0414060257062
masked,robust,0.8,0.1,3,3.75,0,0.0514704048274
masked,robust,0.8,0.1,3,3.75,1,0.0476922449909
masked,robust,0.8,0.1,3,3.75,2,0.0423995613856
masked,robust,0.8,0.15,1,1.25,0,0.0485309330047
masked,robust,0.8,0.15,1,1.25,1,0.0424618426836
masked,robust,0.8,0.15,1,1.25,2,0.0395687521687
masked,robust,0.8,0.15,1.5,1.875,0,0.0502336403594
masked,robust,0.8,0.15,1.5,1.875,1,0.0452693797193
masked,robust,0.8,0.15,1.5,1.875,2,0.0423423051443
masked,robust,0.8,0.15,2,2.5,0,0.0514517224084
masked,robust,0.8,0.15,2,2.5,1,0.0476763584688
masked,robust,0.8,0.15,2,2.5,2,0.0450789059849
masked,robust,0.8,0.15,2.5,3.125,0,0.0522971997806
masked,robust,0.8,0.15,2.5,3.125,1,0.0495669038697
masked,robust,0.8,0.15,2.5,3.125,2,0.0474830850651
masked,robust,0.8,0.15,3,3.75,0,0.0529504434364
masked,robust,0.8,0.15,3,3.75,1,0.0510017285618
masked,robust,0.8,0.15,3,3.75,2,0.0495106728158
masked,robust,0.8,0.2,1,1.25,0,0.0507742443993
masked,robust,0.8,0.2,1,1.25,1,0.0483858122103
masked,robust,0.8,0.2,1,1.25,2,0.0429534301374
masked,robust,0.8,0.2,1.5,1.875,0,0.0524762735791
masked,robust,0.8,0.2,1.5,1.875,1,0.0529632573399
masked,robust,0.8,0.2,1.5,1.875,2,0.0466997161714
masked,robust,0.8,0.2,2,2.5,0,0.0539304250123
masked,robust,0.8,0.2,2,2.5,1,0.0567767400558
masked,robust,0.8,0.2,2,2.5,2,0.0500227430962
masked,robust,0.8,0.2,2.5,3.125,0,0.0551760862106
masked,robust,0.8,0.2,2.5,3.125,1,0.0597348450535
masked,robust,0.8,0.2,2.5,3.125,2,0.0528622157379
masked,robust,0.8,0.2,3,3.75,0,0.0562781302582
masked,robust,0.8,0.2,3,3.75,1,0.062007815726
masked,robust,0.8,0.2,3,3.75,2,0.0552448061878
masked,robust,0.8,0.25,1,1.25,0,0.0542128296274
masked,robust,0.8,0.25,1,1.25,1,0.0493192629559
masked,robust,0.8,0.25,1,1.25,2,0.0455897602737
masked,robust,0.8,0.25,1.5,1.875,0,0.0567328296033
masked,robust,0.8,0.25,1.5,1.875,1,0.0536256172683
masked,robust,0.8,0.25,1.5,1.875,2,0.0498568325951
masked,robust,0.8,0.25,2,2.5,0,0.0588971514215
masked,robust,0.8,0.25,2,2.5,1,0.0572206664324
masked,robust,0.8,0.25,2,2.5,2,0.0536205539193
masked,robust,0.8,0.25,2.5,3.125,0,0.0607323605609
masked,robust,0.8,0.25,2.5,3.125,1,0.0600417705583
masked,robust,0.8,0.25,2.5,3.125,2,0.0568414583817
masked,robust,0.8,0.25,3,3.75,0,0.0623042293301
masked,robust,0.8,0.25,3,3.75,1,0.0622844409178
masked,robust,0.8,0.25,3,3.75,2,0.0595505615524
masked,robust,0.8,0.3,1,1.25,0,0.057464162154
masked,robust,0.8,0.3,1,1.25,1,0.0519011526807
masked,robust,0.8,0.3,1,1.25,2,0.0503609632043
masked,robust,0.8,0.3,1.5,1.875,0,0.0612231206643
masked,robust,0.8,0.3,1.5,1.875,1,0.0567393689625
masked,robust,0.8,0.3,1.5,1.875,2,0.0557133436464
masked,robust,0.8,0.3,2,2.5,0,0.0645084380945
masked,robust,0.8,0.3,2,2.5,1,0.0609518760549
masked,robust,0.8,0.3,2,2.5,2,0.0603050709966
masked,robust,0.8,0.3,2.5,3.125,0,0.067160282687
